"StartIP","EndIP","Org","Customer"
"0.0.0.0","0.255.255.255","Internet Assigned Numbers Authority",
"1.0.0.0","1.255.255.255","Asia Pacific Network Information Centre",
"2.0.0.0","2.255.255.255","RIPE Network Coordination Centre",
"3.0.0.0","3.1.255.255","Amazon Data Services Singapore",
"3.2.0.0","3.2.0.255","Amazon Data Services NoVa",
"3.0.0.0","3.127.255.255","Amazon Technologies Inc.",
"3.128.0.0","3.255.255.255","Amazon Technologies Inc.",
"4.0.0.0","4.127.255.255","Level 3 Parent, LLC",
"4.128.0.0","4.143.255.255","Microsoft Corporation",
"4.144.0.0","4.159.255.255","Microsoft Corporation",
"4.160.0.0","4.175.255.255","Microsoft Corporation",
"4.176.0.0","4.191.255.255","Microsoft Corporation",
"4.192.0.0","4.207.255.255","Microsoft Corporation",
"4.208.0.0","4.223.255.255","Microsoft Corporation",
"4.224.0.0","4.239.255.255","Microsoft Corporation",
"4.240.0.0","4.255.255.255","Microsoft Corporation",
"5.0.0.0","5.255.255.255","RIPE Network Coordination Centre",
"6.0.0.0","6.255.255.255","Headquarters, USAISC",
"7.0.0.0","7.255.255.255","DoD Network Information Center",
"8.0.0.0","8.127.255.255","Level 3 Parent, LLC",
"8.128.0.0","8.191.255.255","Asia Pacific Network Information Centre",
"8.192.0.0","8.207.255.255","Level 3 Parent, LLC",
"8.208.0.0","8.223.255.255","Asia Pacific Network Information Centre",
"8.224.0.0","8.224.0.255","Southern Vermont Cable Company",
"8.224.1.0","8.224.1.255","Southern Vermont Cable Company",
"8.240.0.0","8.241.255.255","Level 3 Parent, LLC",
"8.224.0.0","8.239.255.255","Level 3 Parent, LLC",
"8.224.0.0","8.239.255.255","Level 3 Parent, LLC",
"8.240.0.0","8.241.255.255","Level 3 Parent, LLC",
"8.242.0.0","8.242.31.255","CTL Brazil",
"8.242.32.0","8.242.63.255","CTL Brazil",
"8.242.0.0","8.242.255.255","CTL LATAM",
"8.243.0.0","8.243.31.255","CTL Argentina",
"8.243.32.0","8.243.63.255","CTL Brazil",
"8.243.0.0","8.243.255.255","CTL LATAM",
"8.244.0.0","8.247.255.255","Level 3 Parent, LLC",
"8.248.0.0","8.255.255.255","Level 3 Parent, LLC",
"9.9.8.0","9.9.8.255","IBM",
"9.0.0.0","9.7.255.255","IBM",
"9.9.0.0","9.9.7.255","IBM",
"9.8.0.0","9.8.255.255","IBM",
"9.8.0.0","9.8.255.255","IBM",
"9.9.8.0","9.9.8.255","IBM",
"9.0.0.0","9.7.255.255","IBM",
"9.9.0.0","9.9.7.255","IBM",
"9.8.0.0","9.8.255.255","IBM",
"9.9.0.0","9.9.7.255","IBM",
"9.0.0.0","9.7.255.255","IBM",
"9.9.8.0","9.9.8.255","IBM",
"9.9.9.0","9.9.9.255","Quad9",
